country,year,amount
Austria,2008,3896.74
Austria,2009,3906.7400000000007
Austria,2010,3308.21
Austria,2011,3197.13
Austria,2012,3212.1899999999996
Austria,2013,3696.5299999999997
Austria,2014,3573.58
Austria,2015,3397.45
Austria,2016,4011.9799999999996
Austria,2017,3634.96
Austria,2018,3338.02
Austria,2019,3450.7200000000003
Austria,2020,3051.09
Austria,2021,2810.8100000000004
Austria,2022,3413.34
Belgium,2008,5286.5599999999995
Belgium,2009,5371.0199999999995
Belgium,2010,5013.710000000001
Belgium,2011,5220.0599999999995
Belgium,2012,5103.099999999999
Belgium,2013,4838.86
Belgium,2014,4979.9
Belgium,2015,5117.610000000001
Belgium,2016,5383.180000000001
Belgium,2017,5264.43
Belgium,2018,5271.2300000000005
Belgium,2019,5426.3499999999985
Belgium,2020,4507.370000000001
Belgium,2021,4623.029999999999
Belgium,2022,5063.959999999999
Bulgaria,2008,1125.92
Bulgaria,2009,1239.25
Bulgaria,2010,1333.8
Bulgaria,2011,1185.5099999999998
Bulgaria,2012,1101.63
Bulgaria,2013,1131.29
Bulgaria,2014,1037.75
Bulgaria,2015,953.96
Bulgaria,2016,839.5
Bulgaria,2017,936.95
Bulgaria,2018,963.1899999999999
Bulgaria,2019,864.5500000000002
Bulgaria,2020,737.9600000000002
Bulgaria,2021,668.03
Bulgaria,2022,765.1199999999999
Croatia,2008,1143.28
Croatia,2009,1083.63
Croatia,2010,1127.77
Croatia,2011,1213.3899999999999
Croatia,2012,1260.59
Croatia,2013,1073.41
Croatia,2014,918.8399999999999
Croatia,2015,958.37
Croatia,2016,1258.0600000000002
Croatia,2017,1216.9
Croatia,2018,1170.59
Croatia,2019,1241.69
Croatia,2020,1007.14
Croatia,2021,1005.8999999999999
Croatia,2022,1079.2899999999997
Cyprus,2008,1134.69
Cyprus,2009,1045.26
Cyprus,2010,975.4
Cyprus,2011,1217.85
Cyprus,2012,1134.44
Cyprus,2013,973.46
Cyprus,2014,880.17
Cyprus,2015,762.8100000000001
Cyprus,2016,732.9800000000001
Cyprus,2017,715.62
Cyprus,2018,458.82
Cyprus,2019,422.06
Cyprus,2020,371.4
Cyprus,2021,396.88
Cyprus,2022,441.56
Czech Republic,2008,2458.57
Czech Republic,2009,2718.35
Czech Republic,2010,2554.0699999999997
Czech Republic,2011,2493.08
Czech Republic,2012,2341.84
Czech Republic,2013,2609.94
Czech Republic,2014,2131.42
Czech Republic,2015,1665.22
Czech Republic,2016,1389.63
Czech Republic,2017,1274.8999999999999
Czech Republic,2018,1157.5700000000002
Czech Republic,2019,1167.0100000000002
Czech Republic,2020,965.01
Czech Republic,2021,906.5899999999999
Czech Republic,2022,1082.5199999999998
Denmark,2008,8775.35
Denmark,2009,9157.96
Denmark,2010,8706.94
Denmark,2011,8627.710000000001
Denmark,2012,8122.22
Denmark,2013,7853.710000000001
Denmark,2014,7267.4400000000005
Denmark,2015,6528.66
Denmark,2016,7213.38
Denmark,2017,7012.460000000001
Denmark,2018,6492.569999999999
Denmark,2019,6144.449999999999
Denmark,2020,5442.06
Denmark,2021,4807.469999999999
Denmark,2022,5446.470000000001
Estonia,2008,2781.13
Estonia,2009,2580.7400000000002
Estonia,2010,2507.95
Estonia,2011,2153.33
Estonia,2012,2091.26
Estonia,2013,1886.1200000000001
Estonia,2014,1774.4799999999998
Estonia,2015,1488.58
Estonia,2016,1463.9000000000003
Estonia,2017,1355.9299999999998
Estonia,2018,1228.3800000000003
Estonia,2019,1134.34
Estonia,2020,1092.2
Estonia,2021,1214.8399999999997
Estonia,2022,1183.0700000000002
Finland,2008,3947.57
Finland,2009,3991.21
Finland,2010,3906.51
Finland,2011,4003.25
Finland,2012,3631.4700000000003
Finland,2013,3546.52
Finland,2014,3548.27
Finland,2015,3451.95
Finland,2016,4234.959999999999
Finland,2017,3956.61
Finland,2018,3956.4399999999996
Finland,2019,4188.999999999999
Finland,2020,4675.9400000000005
Finland,2021,4289.09
Finland,2022,4351.179999999999
France,2008,3126.2799999999997
France,2009,3854.63
France,2010,3547.91
France,2011,3580.4700000000003
France,2012,3637.21
