Geopolitical entity (reporting),value
AUSTRIA,74627.40000000001
BELGIUM,105815.4
BULGARIA,9457.8
CROATIA,5581.2
CYPRUS,4538.5
CZECHIA,37095.700000000004
DENMARK,77810.0
ESTONIA,3286.7
FINLAND,55496.700000000004
FRANCE,476838.3
GERMANY,665035.2
GREECE,94273.13076923079
HUNGARY,19540.6
IRELAND,21128.7
ITALY,232109.2
LATVIA,5077.4
LITHUANIA,7802.6
LUXEMBOURG,9123.3
MALTA,2524.5
NETHERLANDS,154748.9
POLAND,90781.7
PORTUGAL,28398.9
ROMANIA,25942.5
SLOVAKIA,16267.5
SLOVENIA,8710.800000000001
SPAIN,184029.7
SWEDEN,129332.2
