,UN estimate (2023),country
0,83294633.0,GERMANY
1,64756584.0,FRANCE
2,58870763.0,ITALY
3,47519628.0,SPAIN
4,41026068.0,POLAND
5,19892812.0,ROMANIA
6,17618299.0,NETHERLANDS
7,11686140.0,BELGIUM
8,10612086.0,SWEDEN
9,10341277.0,GREECE
10,10247605.0,PORTUGAL
11,9604000.0,HUNGARY
12,8958961.0,AUSTRIA
13,6687717.0,BULGARIA
14,5910913.0,DENMARK
15,5795199.0,SLOVAKIA
16,5545475.0,FINLAND
17,5056935.0,IRELAND
18,4008617.0,CROATIA
19,2718352.0,LITHUANIA
20,2119675.0,SLOVENIA
21,1830212.0,LATVIA
22,1322766.0,ESTONIA
23,1260138.0,CYPRUS
24,654768.0,LUXEMBOURG
25,535065.0,MALTA
