country,happy_value
AUSTRIA,19.997142857142858
BELGIUM,19.94857142857143
BULGARIA,18.485714285714284
CROATIA,19.431428571428572
CYPRUS,19.874285714285715
CZECHIA,18.931428571428572
DENMARK,19.685714285714287
ESTONIA,19.994285714285713
FINLAND,19.897142857142857
FRANCE,19.914285714285715
GREECE,20.0
HUNGARY,19.994285714285713
IRELAND,20.002857142857142
ITALY,19.242857142857144
LATVIA,19.642857142857142
LITHUANIA,18.5
LUXEMBOURG,19.76571428571429
MALTA,19.545714285714286
NETHERLANDS,19.87142857142857
POLAND,19.691428571428574
PORTUGAL,19.80857142857143
ROMANIA,19.24
SLOVAKIA,18.537142857142857
SLOVENIA,19.897142857142857
SPAIN,20.0
SWEDEN,20.0
